filename,clause_name,risk_domain,clause_role,severity,risk_weight,business_description,recommendation
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,10,Restricts hiring or solicitation of the counterparty’s employees.,Review employee non-solicitation restrictions for scope and duration.
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,10,Restricts solicitation of the counterparty’s customers or partners.,Review customer non-solicitation restrictions for scope and duration.
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,10,Restricts solicitation of the counterparty’s customers or partners.,Review customer non-solicitation restrictions for scope and duration.
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,10,Restricts solicitation of the counterparty’s customers or partners.,Review customer non-solicitation restrictions for scope and duration.
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,10,Restricts hiring or solicitation of the counterparty’s employees.,Review employee non-solicitation restrictions for scope and duration.
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,10,Restricts solicitation of the counterparty’s customers or partners.,Review customer non-solicitation restrictions for scope and duration.
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,10,Restricts solicitation of the counterparty’s customers or partners.,Review customer non-solicitation restrictions for scope and duration.
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
