filename,document_name,clause_name,risk_domain,clause_role,severity,clause_present,business_description
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Termination For Convenience,Lifecycle Risk,Risk if Missing,High,True,Allows termination without cause after notice or waiting period.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Change Of Control,Control Risk,Contextual,High,False,Creates rights or obligations triggered by ownership or control changes.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Anti-Assignment,Control Risk,Contextual,Medium,True,Restricts transfer or assignment of contractual rights.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Revenue/Profit Sharing,Financial Risk,Risk if present,High,True,Requires sharing revenue or profit with the counterparty.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Price Restrictions,Financial Risk,Risk if present,Medium,False,Restricts the ability to change prices.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Minimum Commitment,Financial Risk,Risk if present,High,True,"Requires minimum purchase, order, usage, or payment commitments."
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Volume Restriction,Financial Risk,Risk if present,Medium,False,Creates restrictions or penalties based on usage or volume thresholds.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Ip Ownership Assignment,IP Risk,Contextual,Critical,False,Transfers ownership of created intellectual property to another party.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Joint Ip Ownership,IP Risk,Contextual,Medium,False,Creates shared ownership of intellectual property.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,License Grant,IP Risk,Contextual,Low,True,"Grants rights to use intellectual property, technology, content, or services."
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,True,Grants broad or unlimited usage rights.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Irrevocable Or Perpetual License,IP Risk,Risk if present,High,False,Creates license rights that may survive indefinitely or cannot be revoked.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Post-Termination Services,Lifecycle Risk,Risk if Present,High,False,Creates obligations that continue after contract termination.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Audit Rights,Operational Risk,Contextual,Medium,True,"Allows one party to inspect records, books, systems, or compliance evidence."
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Uncapped Liability,Liability Risk,Risk if present,Critical,True,Indicates whether a party may face liability without a contractual cap.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Cap On Liability,Liability Risk,Risk if Missing,Critical,True,Indicates whether the contract limits the maximum liability exposure.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Liquidated Damages,Liability Risk,Risk if present,Medium,False,Defines preset damages or fees for breach or termination.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Warranty Duration,Operational Risk,Contextual,Low,False,Specifies how long warranties remain valid.
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Insurance,Liability Risk,Risk if Missing,Critical,False,Indicates whether a party must maintain insurance coverage.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Non-Compete,Competition Risk,Risk if present,Critical,False,"Restricts a party from competing in certain markets, geographies, or sectors."
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Exclusivity,Competition Risk,Risk if Present,Critical,True,Creates exclusive dealing obligations that may limit business flexibility.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,False,Restricts solicitation of the counterparty’s customers or partners.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,False,Restricts hiring or solicitation of the counterparty’s employees.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Termination For Convenience,Lifecycle Risk,Risk if Missing,High,False,Allows termination without cause after notice or waiting period.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Change Of Control,Control Risk,Contextual,High,False,Creates rights or obligations triggered by ownership or control changes.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Anti-Assignment,Control Risk,Contextual,Medium,False,Restricts transfer or assignment of contractual rights.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Revenue/Profit Sharing,Financial Risk,Risk if present,High,True,Requires sharing revenue or profit with the counterparty.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Price Restrictions,Financial Risk,Risk if present,Medium,False,Restricts the ability to change prices.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Minimum Commitment,Financial Risk,Risk if present,High,False,"Requires minimum purchase, order, usage, or payment commitments."
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Volume Restriction,Financial Risk,Risk if present,Medium,False,Creates restrictions or penalties based on usage or volume thresholds.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Ip Ownership Assignment,IP Risk,Contextual,Critical,False,Transfers ownership of created intellectual property to another party.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Joint Ip Ownership,IP Risk,Contextual,Medium,False,Creates shared ownership of intellectual property.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,License Grant,IP Risk,Contextual,Low,True,"Grants rights to use intellectual property, technology, content, or services."
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,True,Grants broad or unlimited usage rights.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Irrevocable Or Perpetual License,IP Risk,Risk if present,High,False,Creates license rights that may survive indefinitely or cannot be revoked.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Post-Termination Services,Lifecycle Risk,Risk if Present,High,False,Creates obligations that continue after contract termination.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Audit Rights,Operational Risk,Contextual,Medium,True,"Allows one party to inspect records, books, systems, or compliance evidence."
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Uncapped Liability,Liability Risk,Risk if present,Critical,False,Indicates whether a party may face liability without a contractual cap.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Cap On Liability,Liability Risk,Risk if Missing,Critical,False,Indicates whether the contract limits the maximum liability exposure.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Liquidated Damages,Liability Risk,Risk if present,Medium,False,Defines preset damages or fees for breach or termination.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Warranty Duration,Operational Risk,Contextual,Low,False,Specifies how long warranties remain valid.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Insurance,Liability Risk,Risk if Missing,Critical,False,Indicates whether a party must maintain insurance coverage.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Non-Compete,Competition Risk,Risk if present,Critical,False,"Restricts a party from competing in certain markets, geographies, or sectors."
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Exclusivity,Competition Risk,Risk if Present,Critical,True,Creates exclusive dealing obligations that may limit business flexibility.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,False,Restricts solicitation of the counterparty’s customers or partners.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,False,Restricts hiring or solicitation of the counterparty’s employees.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Termination For Convenience,Lifecycle Risk,Risk if Missing,High,False,Allows termination without cause after notice or waiting period.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Change Of Control,Control Risk,Contextual,High,True,Creates rights or obligations triggered by ownership or control changes.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Anti-Assignment,Control Risk,Contextual,Medium,True,Restricts transfer or assignment of contractual rights.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Revenue/Profit Sharing,Financial Risk,Risk if present,High,True,Requires sharing revenue or profit with the counterparty.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Price Restrictions,Financial Risk,Risk if present,Medium,False,Restricts the ability to change prices.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Minimum Commitment,Financial Risk,Risk if present,High,False,"Requires minimum purchase, order, usage, or payment commitments."
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Volume Restriction,Financial Risk,Risk if present,Medium,False,Creates restrictions or penalties based on usage or volume thresholds.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Ip Ownership Assignment,IP Risk,Contextual,Critical,False,Transfers ownership of created intellectual property to another party.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Joint Ip Ownership,IP Risk,Contextual,Medium,False,Creates shared ownership of intellectual property.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,License Grant,IP Risk,Contextual,Low,True,"Grants rights to use intellectual property, technology, content, or services."
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,False,Grants broad or unlimited usage rights.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Irrevocable Or Perpetual License,IP Risk,Risk if present,High,False,Creates license rights that may survive indefinitely or cannot be revoked.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Post-Termination Services,Lifecycle Risk,Risk if Present,High,False,Creates obligations that continue after contract termination.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Audit Rights,Operational Risk,Contextual,Medium,True,"Allows one party to inspect records, books, systems, or compliance evidence."
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Uncapped Liability,Liability Risk,Risk if present,Critical,True,Indicates whether a party may face liability without a contractual cap.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Cap On Liability,Liability Risk,Risk if Missing,Critical,True,Indicates whether the contract limits the maximum liability exposure.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Liquidated Damages,Liability Risk,Risk if present,Medium,False,Defines preset damages or fees for breach or termination.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Warranty Duration,Operational Risk,Contextual,Low,False,Specifies how long warranties remain valid.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,Insurance,Liability Risk,Risk if Missing,Critical,False,Indicates whether a party must maintain insurance coverage.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Non-Compete,Competition Risk,Risk if present,Critical,False,"Restricts a party from competing in certain markets, geographies, or sectors."
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Exclusivity,Competition Risk,Risk if Present,Critical,False,Creates exclusive dealing obligations that may limit business flexibility.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,False,Restricts solicitation of the counterparty’s customers or partners.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,False,Restricts hiring or solicitation of the counterparty’s employees.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Termination For Convenience,Lifecycle Risk,Risk if Missing,High,False,Allows termination without cause after notice or waiting period.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Change Of Control,Control Risk,Contextual,High,False,Creates rights or obligations triggered by ownership or control changes.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Anti-Assignment,Control Risk,Contextual,Medium,True,Restricts transfer or assignment of contractual rights.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Revenue/Profit Sharing,Financial Risk,Risk if present,High,True,Requires sharing revenue or profit with the counterparty.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Price Restrictions,Financial Risk,Risk if present,Medium,False,Restricts the ability to change prices.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Minimum Commitment,Financial Risk,Risk if present,High,False,"Requires minimum purchase, order, usage, or payment commitments."
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Volume Restriction,Financial Risk,Risk if present,Medium,False,Creates restrictions or penalties based on usage or volume thresholds.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Ip Ownership Assignment,IP Risk,Contextual,Critical,False,Transfers ownership of created intellectual property to another party.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Joint Ip Ownership,IP Risk,Contextual,Medium,False,Creates shared ownership of intellectual property.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,License Grant,IP Risk,Contextual,Low,True,"Grants rights to use intellectual property, technology, content, or services."
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,False,Grants broad or unlimited usage rights.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Irrevocable Or Perpetual License,IP Risk,Risk if present,High,True,Creates license rights that may survive indefinitely or cannot be revoked.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Post-Termination Services,Lifecycle Risk,Risk if Present,High,False,Creates obligations that continue after contract termination.
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Audit Rights,Operational Risk,Contextual,Medium,True,"Allows one party to inspect records, books, systems, or compliance evidence."
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,Uncapped Liability,Liability Risk,Risk if present,Critical,True,Indicates whether a party may face liability without a contractual cap.
