filename,document_name,risk_score,risk_band,num_risk_drivers
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,25,Low Risk,1
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Split-Dollar Endorsement Agreement,0,Low Risk,0
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.pdf,ENDORSEMENT,0,Low Risk,0
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT,0,Low Risk,0
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",43,Moderate Risk,2
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf,Development Agreement,0,Low Risk,0
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,APPLICATION DEVELOPMENT AGREEMENT,35,Moderate Risk,2
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,LICENSE AND DEVELOPMENT AGREEMENT,53,High Risk,3
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf,FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive),25,Low Risk,1
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Consulting and Product Development Agreement,25,Low Risk,1
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,DEVELOPMENT AND OPTION AGREEMENT,43,Moderate Risk,2
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,MASTER JOINT DEVELOPMENT AGREEMENT,0,Low Risk,0
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT,0,Low Risk,0
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT,53,High Risk,3
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,BUSINESS DEVELOPMENT AGREEMENT,18,Low Risk,1
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,License and Development Agreement,43,Moderate Risk,2
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,CO-DEVELOPMENT AGREEMENT,53,High Risk,3
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",43,Moderate Risk,2
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,DISTRIBUTION AND DEVELOPMENT AGREEMENT,53,High Risk,3
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Mobile Application Development Agreement,0,Low Risk,0
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,DOMAIN NAME AND CONTENT LICENSE AGREEMENT,43,Moderate Risk,2
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,JOINT CONTENT LICENSE AGREEMENT,0,Low Risk,0
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,                           CONTENT LICENSING AGREEMENT,18,Low Risk,1
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,18,Low Risk,1
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,FORM OF CONTENT LICENSE AGREEMENT,0,Low Risk,0
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,                CONTENT LICENSE AGREEMENT,43,Moderate Risk,2
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,25,Low Risk,1
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Program Content License Agreement,25,Low Risk,1
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,  CONTENT LICENSE AGREEMENT,25,Low Risk,1
WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,Media Content and License Agreement,25,Low Risk,1
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,                            CONTENT LICENSE AGREEMENT,43,Moderate Risk,2
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,18,Low Risk,1
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,"ADDENDUM TO 

ZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT",0,Low Risk,0
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,0,Low Risk,0
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,DISTRIBUTOR AGREEMENT,18,Low Risk,1
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,43,Moderate Risk,2
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.pdf,DISTRIBUTORSHIP AGREEMENT,43,Moderate Risk,2
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,DISTRIBUTORSHIP AGREEMENT,43,Moderate Risk,2
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,INTELLECTUAL PROPERTY AGREEMENT,0,Low Risk,0
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,WIRELESS CONTENT LICENSE AGREEMENT,43,Moderate Risk,2
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.pdf,"AMENDMENT NO. 1

Wireless Content License Agreement Number 12965",25,Low Risk,1
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.pdf,"AMENDMENT NO. 2

Wireless Content License Agreement Number 12965",0,Low Risk,0
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.pdf,"AMENDMENT NO. 3

Wireless Content License Agreement Number 12965",0,Low Risk,0
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.pdf,DOMAIN NAME AND CONTENT LICENSE AGREEMENT,43,Moderate Risk,2
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2.pdf,MUTUAL TERMINATION AGREEMENT,0,Low Risk,0
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,43,Moderate Risk,2
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3.pdf,SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT,20,Low Risk,2
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.pdf,FORM OF FRANCHISE AGREEMENT,38,Moderate Risk,3
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,"  CONTENT LICENSE, MARKETING AND SALES AGREEMENT",43,Moderate Risk,2
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2.pdf,SUPPLIER/SUBCONTRACTOR CONTRACT,0,Low Risk,0
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,43,Moderate Risk,2
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.pdf,Software License Agreement [v.08.05.03],0,Low Risk,0
