filename,document_name,parties,agreement_date,effective_date,expiration_date,renewal_term,notice_period_to_terminate_renewal,governing_law,has_renewal_term,has_notice_period_to_terminate_renewal,has_expiration_date,has_effective_date,has_governing_law,non_compete,exclusivity,no_solicit_of_customers,no_solicit_of_employees,termination_for_convenience,change_of_control,anti_assignment,revenue_profit_sharing,price_restrictions,minimum_commitment,volume_restriction,ip_ownership_assignment,joint_ip_ownership,license_grant,unlimited_all_you_can_eat_license,irrevocable_or_perpetual_license,post_termination_services,audit_rights,uncapped_liability,cap_on_liability,liquidated_damages,warranty_duration,insurance
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,DEVELOPMENT AGREEMENT,"Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and   individually as a “Party.”)",9/30/19,9/30/19,,,,New York,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,"Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)",6/12/19,9/2/19,Perpetual,,,Delaware,False,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,True,False,False,True
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,JOINT DEVELOPMENT AGREEMENT,"ExxonMobil Research and Engineering Company (“ExxonMobil”); FuelCell Energy, Inc. (“FCE”)",11/5/19,10/31/19,10/31/21,,,New York,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False,False
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,RECIPE DEVELOPMENT AGREEMENT,"Reed's, Inc. (""Reed's""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")",10/11/19,10/11/19,,,,New York,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Distributorship agreement,"Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC",3/29/18,,3/29/19,perpetual,12 months,Ohio,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,DISTRIBUTOR AGREEMENT,"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")",8/1/19,8/1/19,8/1/22,3 years,,Florida,True,False,True,True,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,"iMine Corporation (""JRVS""); SUNWAI Technology (""Distributor"")",7/19/18,7/19/18,7/19/20,,,Indiana,False,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,"Erchonia Corporation (""Erchonia""); InnerScope Hearing Technologies Inc (""Distributor"")",,,,3 years,,Florida,True,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,"WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (“Party” and collectively as the “Parties.”)",11/12/19,11/12/19,11/12/24,successive 5 year,120 days,Texas,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT ADDENDUM I,"National Football League Alumni - Northern California Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./ Gridiron Gridiron BioNutrients™ (collectively, the ""Company"")",11/7/17,11/7/17,,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")",11/14/17,11/14/17,11/14/18,successive 1 year,30 days,Michigan,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,COLLABORATION & ENDORSEMENT AGREEMENT,"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (“Party” and collectively, the “Parties”)",6/15/15,6/15/15,6/15/19,three (3) years,,New York,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,GAS FRANCHISE AGREEMENT,"TOWN OF VINTON, VIRGINIA (""Grantor""); ROANOKE GAS COMPANY (""Grantee"")",11/17/15,1/1/16,1/1/36,,,,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,MASTER FRANCHISE AGREEMENT,"Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")",11/20/18,11/20/18,perpetual,,,New York,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"Website Design, Development and Hosting Agreement","FreeCook (""Client""); Mitchell's Web Advance, PLC (""Company"")",1/11/18,,5/3/18,,,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,"Elephant Talk Communication Holding AG (""ELEPHANT TALK""); T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")",9/18/08,9/18/08,,,,Netherlands,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,SERVICES AND HOSTING AGREEMENT,"VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")",3/14/18,3/14/18,3/14/19,Successive 1 year,180 days,California,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,e-business Hosting Agreement,"International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")",12/2/08,12/3/08,12/3/11,,,New York,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"INTELLECTUAL PROPERTY AGREEMENT, d","NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")",9/30/19,,,,,Delaware,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"INTELLECTUAL PROPERTY AGREEMENT, d","HONEYWELL INTERNATIONAL INC. (""Honeywell""); GARRETT MOTION INC. (""SpinCo"")",9/27/18,9/27/18,,,,New York,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,INTELLECTUAL PROPERTY RIGHTS AGREEMENT,"Synchron (""Investor""); Rare Element Resources Ltd. (""Company"")",10/2/17,,,,,New York,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,SPONSORED RESEARCH AND LICENSE AGREEMENT,"Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")",11/28/18,11/28/18,,,,Iowa,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,MEDIA LICENSE AGREEMENT,"NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame (""PFHOF""); HOF Village, LLC (""Village Media Company""); HOF Village, LLC (""HOFV"")",,,12/31/34,successive 5 years,180 days / 6 months,Ohio,True,True,True,False,True,False,True,False,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,COMMERCIALIZATION AND LICENSE AGREEMENT,"Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (“Party” and collectively as the “Parties.”)",12/17/19,12/17/19,,,,New York,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,False,True
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,"The John Hopkins University (""JHU""); Virtuoso Surgical, Inc. (""Company"")",5/3/16,5/11/16,,,,Maryland,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,Network Build and Maintenance Agreement ,"Commnet Wireless, LLC (""Vendor""); AT&T Mobility LLC (""AT&T"") (""Party"" or in the plural as the ""Parties."")",7/31/19,7/31/19,,,,New York,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,MASTER OPERATION AND MAINTENANCE AGREEMENT,"BLOOM ENERGY CORPORATION (“BE” or, in its capacity as operator hereunder, “Operator”); DIAMOND STATE GENERATION PARTNERS, LLC (""Owner"")",4/13/12,,,,,New York,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,SOFTWARE MAINTENANCE AGREEMENT,"Leader Act Ltd (“LEADER”); EZJR, Inc. (“EZJR”);",10/13/16,,10/13/21,,,Nevada,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,TURN - KEY MANUFACTURING AGREEMENT,"INVASIX LTD. (""Customer""); FLEXTRONICS ISRAEL LTD. (""Contractor"");",,4/1/11,4/1/12,successive 1 year,90 days,Israel,True,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products),"Dong-A ST Co., Ltd. (""Dong-A""); NeuroBo Pharmaceuticals, Inc. (""NeuroBo"")",9/28/18,9/28/18,,,,New York,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,PRODUCT MANUFACTURING AGREEMENT,"DEXCEL LTD. (""Dexcel""); KITOV Pharma Ltd. (""Kitov"")(""Parties"" and individually a ""Party"")",,,,,,Israel,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,False,True,True
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,MANUFACTURING AND SUPPLY AGREEMENT,"Pifzer Inc. (""Manufacturer""); Upjohn Inc. (""Customer"")(""Party"" or collectively as the ""Parties"")",[]/[]/[][],[]/[]/[][],,3 successive 1 year,12 months,Delaware,True,True,False,True,True,False,True,False,True,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,False,True,True
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,WHOLESALE MARKETING AGREEMENT,"ALPS Distributors, Inc. (the “Distributor”); S2K Financial LLC (“S2K”);",8/24/18,8/24/18,perpetual,,,Colorado,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),MediaCo Holding Inc. (“Licensee”); WBLS-WLIB LLC (“Programmer”),11/25/19,11/25/19,12/31/22,,,Indiana,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,MARKETING AND RESELLER AGREEMENT,"Todos Medical Ltd. (""Todos""); Care G. B. Plus Ltd. (""Reseller"")",12/20/18,12/20/18,12/20/23,5 years; 2 years,60 days,Israel,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,JOINT SUPPLY AND MARKETING AGREEMENT,"Bunker One (USA) Inc. (""Bunker One""); Vertex Energy Operating LLC (""Vertex"")",1/10/20,5/1/20,4/30/29,successive 5 years,120 days,Alabama,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,PRODUCT SALE AND MARKETING AGREEMENT,"Calm.com, Inc. (""Calm""); XpresSpa Group, Inc. (""XPSA"")(""Party"" and collectively as the ""Parties"")",11/12/18,11/12/18,7/31/19,successive 6 months,30 days,New York,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,OUTSOURCING AGREEMENT,"SLICON SMELTERS PTY LTD (""Customer""); ESPACIO INFORMATION TECHNOLOGY, SA. (""EIT"")",1/1/09,1/1/09,,successive 1 year,3 months,Spain,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,Outsourcing Contract on Development of Miaoli Royal Resort Hotel,"The HUANG JIA Country CLUB and Recreation Inc. (""Party A""); Chang Chen-Bin Architects Office (""Party B"")",10/29/15,,,,,Taiwan,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,Outsourcing Agreement,"Paratek Pharmaceuticals, Inc. (""Customer""); CARBOGEN AMCIS AG (“Supplier” and, collectively with Customer, the “Parties”, and each, a “Party)",12/30/16,12/30/16,,,,,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.pdf,OUTSOURCING AGREEMENT,"Photronics, Inc. (“Photronics”); Dai Nippon Printing Co., Ltd. (“DNP”); Photronics DNP Photomask Corporation (“PDMC”); Xiamen American Japan Photronics Mask Co., Ltd. (""Company""); Phototronics and DNP (""Shareholder"" and collectively as ""Shareholders""); Shareholder and PDMC (""Supplier"" and collectively as the Suppliers"")",5/16/17,,perpetual,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,COLOGUARD® PROMOTION AGREEMENT,"Pfizer Inc. (“Pfizer”); Exact Sciences Corporation (""Exact"") (""Party"" and collectively as the ""Parties"")",8/21/18,8/21/18,12/31/21,,,New York,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,CO-PROMOTION AGREEMENT,"Dova Pharmaceuticals, Inc. (""Dova""); Valeant Pharmaceuticals North America LLC (""Valeant"")(""Party"" and together as the ""Parties"")",9/26/18,9/26/18,9/26/22,,,[* * *],False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,False,False,True,True,True,True,False,True
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,"BookingEntertainment.com (""Promoter""); VNUE, Inc. (""VNUE"")",9/10/15,9/10/15,9/10/16,successive 1 year,,Nevada,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,"SIGA TECHNOLOGIES, INC. (""SIGA""); MERIDIAN MEDICAL TECHNOLOGIES, INC. (""MMT"")(""Party"" and collectively as the ""Parties"")",5/31/19,5/31/19,5/31/24,successive 3 years,90 days,New York,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,False,False,True
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,  RESELLER AGREEMENT,"i3 Integrative Creative Solutions, LLC (""i3 ICS"", ""Reseller""); Bravatek Solutions, Inc. (""BVTK"", ""Company"")(""party"" and collectively ""parties"")",4/7/17,4/7/17,,1 year,,Virginia,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,WALABOT-HOME RESELLER AGREEMENT,"Vayyar Imaging Ltd. (""Supplier""); IndeLiving Holdings, Inc. (""Reseller"")(""Party"" and collectively as ""Parties"")",7/31/19,7/31/19,7/31/20,successive 1 year,3 months,New York,True,True,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,LICENSE AND RESELLER AGREEMENT,"EHAVE, INC. (""Ehave""); COMPANION HEALTHCARE TECHNOLOGIES CORP (""CHT"")",10/30/18,10/30/18,Perpetual,,,"Ontario, Canada",False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf,FORM OF SUB-RESELLER AGREEMENT,"salesforce.com, inc. (""SFDC"", ""Salesforce""); Salesforce.org (""Reseller"")",[]/[]/[],,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,CHANNEL PARTNER RESELLER AGREEMENT,"IPASS INC. (""iPass""); Pareteum Corporation (""Channel Partner"")",4/25/18,4/25/18,4/25/19,successive 1 year,60 days,California,True,True,True,True,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,SPONSORSHIP AND SERVICES AGREEMENT,"HOF Village, LLC (""HOFV"");  National Football Museum, Inc. d/b/a Pro Football Hall of Fame (""PFHOF""(“PFHOF” and, together with HOFV, the “HOF Entities”); Constellation NewEnergy, Inc., on behalf of itself and its retail affiliates and subsidiaries (collectively, “Constellation”); HOFV and/or PFHOF, and Constellation, (“Party” and, collectively, as the “Parties”)",12/19/18,,12/31/28,,,Ohio,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
